Date,Open,High,Low,Close,Adj Close,Volume
2016-10-28,42.029999,42.220001,41.709999,41.779999,41.779999,6197500
2016-10-31,42.029999,42.160000,41.549999,41.549999,41.549999,3749700
2016-11-01,41.130001,41.340000,40.689999,41.330002,41.330002,11751500
2016-11-02,41.799999,42.160000,40.360001,40.680000,40.680000,13020000
2016-11-03,40.619999,40.750000,40.169998,40.230000,40.230000,8112800
2016-11-04,39.959999,40.669998,39.799999,40.279999,40.279999,4579400
2016-11-07,41.169998,41.230000,40.860001,41.049999,41.049999,5430700
2016-11-08,40.970001,41.279999,40.680000,41.160000,41.160000,4227100
2016-11-09,40.439999,41.389999,40.220001,41.209999,41.209999,24000100
2016-11-10,41.549999,41.650002,39.540001,40.160000,40.160000,16443800
2016-11-11,39.840000,40.520000,39.369999,40.419998,40.419998,15178200
2016-11-14,40.360001,40.389999,38.869999,39.299999,39.299999,12687400
2016-11-15,39.610001,40.450001,39.580002,40.209999,40.209999,13364900
2016-11-16,40.099998,41.049999,40.099998,40.980000,40.980000,15592700
2016-11-17,41.340000,41.650002,41.200001,41.450001,41.450001,8692000
2016-11-18,41.480000,41.650002,40.900002,41.189999,41.189999,8138900
2016-11-21,41.439999,41.480000,40.939999,41.110001,41.110001,11355900
2016-11-22,41.200001,41.400002,40.830002,41.009998,41.009998,8881200
2016-11-23,40.910000,40.980000,40.549999,40.959999,40.959999,3634900
2016-11-25,41.080002,41.080002,40.709999,40.869999,40.869999,2586900
2016-11-28,40.849998,41.700001,40.740002,41.450001,41.450001,6836400
2016-11-29,41.430000,41.830002,41.119999,41.599998,41.599998,13086000
2016-11-30,41.619999,41.669998,40.880001,41.020000,41.020000,7644400
2016-12-01,41.000000,41.040001,39.529999,39.630001,39.630001,12624100
2016-12-02,39.770000,40.320000,39.580002,40.070000,40.070000,8588500
2016-12-05,40.020000,40.389999,39.849998,40.200001,40.200001,4408400
2016-12-06,40.310001,40.419998,39.880001,39.970001,39.970001,6987800
2016-12-07,39.980000,40.570000,39.750000,40.520000,40.520000,7208500
2016-12-08,40.660000,41.599998,40.419998,41.410000,41.410000,9171700
